dialect	durnorm_Lobanov	syl_sd	f0norm_Lobanov	f0median	f0peak	f0min	f0sd	f0skewness	f0SAQ	f0rate	f0peak_rate	f0min_rate	f0cv	df0mean	df0mean_pos	df0mean_neg	df0sd	df0sd_pos	df0sd_neg	df0skewness	spect_emphasis	sl_LTAS_breath	sl_LTAS_alpha	sl_LTAS_L1L0	cvint	jitter	shimmer	hnr	pause_sd	pause_meandur	pause_rate	speech_rate	artic_rate
SP	-0.34	308.17	0.33	97.05	102.92	89.93	2.97	-0.11	1.87	7.50	3.75	3.75	0.03	-0.67	7.65	-6.35	9.88	6.33	7.58	-0.24	6.74	-27.8	-8.8	-1.9	17.09	1.82	10.20	12.02	1389.63	809.61	0.42	5.38	3.87
SP	-0.23	652.53	0.69	100.84	102.65	91.13	3.48	-0.39	1.35	3.57	2.04	1.53	0.03	-2.75	5.81	-7.03	10.97	3.22	10.99	-1.41	4.94	-26.1	-17.1	-13.2	18.94	2.09	9.28	14.12	1402.98	808.92	0.43	2.52	3.79
SP	-0.04	167.79	0.12	95.63	102.93	87.72	4.75	0.04	4.14	3.05	1.53	1.53	0.05	-2.01	10.28	-4.24	10.15	12.66	7.85	0.21	9.96	-22.4	-7.6	-4.5	18.44	2.25	9.90	9.31	1419.79	821.25	0.42	4.63	3.82
SP	-0.18	575.83	0.18	93.96	101.45	86.89	3.18	0.21	1.90	7.48	3.74	3.74	0.03	-1.74	9.04	-9.30	12.12	5.88	9.30	-0.45	6.84	-31.5	-10.1	-1.0	17.10	1.78	11.01	11.23	1427.79	817.25	0.41	3.44	3.80
SP	0.41	162.76	-0.03	96.59	102.91	75.58	8.57	-0.35	4.01	5.65	2.99	2.66	0.09	-2.10	16.37	-9.40	15.20	10.35	9.54	0.38	7.95	-31.1	-16.3	-8.8	17.49	1.81	9.51	12.51	1462.77	855.08	0.41	4.48	3.82
SP	-0.23	128.75	0.03	95.45	102.51	86.50	3.38	-0.05	2.59	5.74	2.87	2.87	0.04	-0.50	8.69	-5.18	9.09	5.36	6.71	-0.29	6.58	-26.2	-10.9	-1.7	18.79	2.14	10.79	10.62	1483.16	870.16	0.40	5.00	3.80
SP	-0.22	633.93	0.18	95.65	102.93	83.90	4.64	-0.14	3.61	3.80	1.90	1.90	0.05	-2.44	6.23	-7.25	8.76	6.88	5.31	0.67	3.72	-30.9	-11.2	3.3	16.33	1.49	8.19	14.84	1544.63	932.73	0.37	3.02	3.72
SP	-0.17	101.89	0.23	96.03	102.59	87.84	3.28	-0.10	1.61	7.23	3.69	3.55	0.03	0.12	9.68	-8.78	12.04	8.31	7.15	0.45	5.20	-31.9	-11.0	-2.1	15.27	2.02	9.96	12.21	1569.74	954.72	0.38	5.80	3.76
SP	0.27	194.67	0.22	96.31	101.87	88.84	3.38	0.37	2.88	2.59	1.30	1.30	0.03	-1.03	9.74	-2.80	8.57	6.61	7.52	-1.68	5.78	-25.2	-10.8	-2.0	18.97	2.14	9.06	11.69	1618.85	1013.27	0.37	4.84	3.65
SP	-0.03	577.81	0.33	96.76	100.29	90.48	2.47	0.07	1.94	6.02	3.01	3.01	0.03	-1.50	6.62	-8.01	9.67	4.71	7.42	-0.39	6.63	-29.5	-10.4	-1.8	18.08	1.76	9.02	12.97	1627.81	996.81	0.36	3.16	3.63
SP	-0.35	143.92	0.25	95.45	102.36	90.61	3.42	0.007	2.55	6.37	3.18	3.18	0.04	-0.32	7.91	-6.27	10.60	7.43	8.34	-0.28	9.18	-26.8	-7.3	-4.4	16.65	1.82	11.94	10.46	1685.93	1064.19	0.35	5.53	3.66
SP	-0.56	205.88	-0.05	97.03	99.11	76.15	4.46	-0.33	2.01	4.41	2.20	2.20	0.05	-2.77	3.64	-5.23	6.90	2.89	6.39	-1.50	6.15	-30.9	-11.6	-0.1	17.66	1.75	11.09	13.32	1705.50	1072.38	0.35	5.70	3.57
SP	0.09	204.23	0.28	91.97	100.90	89.66	2.95	0.48	1.93	3.49	1.83	1.65	0.03	-0.43	7.26	-3.09	8.05	7.20	6.49	-0.48	5.70	-29.4	-9.0	-0.2	18.96	1.99	11.45	10.86	1725.48	1082.20	0.36	4.31	3.50
SP	0.07	349.60	0.11	95.32	103.39	88.49	2.97	0.02	1.26	5.93	2.97	2.97	0.03	-0.87	5.67	-4.37	8.57	6.81	7.28	-0.39	4.16	-24.8	-12.7	1.9	17.69	2.06	10.49	12.09	1734.35	1049.25	0.36	4.64	3.47
SP	-0.02	462.88	0.07	95.12	102.49	87.45	2.67	0.02	1.05	3.62	1.81	1.81	0.03	-0.65	6.95	-2.47	6.47	5.61	5.23	-0.62	4.25	-26.7	-13.8	0.5	18.19	2.29	10.75	11.84	1758.81	1039.73	0.37	4.21	3.34
SP	-0.02	0	0.76	104.07	105.15	89.39	3.61	-0.42	1.65	5.60	2.70	2.90	0.04	1.06	17.00	-7.87	14.87	11.16	7.26	0.59	0.36	-25.9	-22.4	9.3	6.38	8.20	23.54	-20.00	1053.92	870.00	0.37	0.10	3.23
SP	-0.49	2299.93	0.30	91.93	98.24	83.87	3.29	0.05	1.48	5.62	2.81	2.81	0.04	-2.10	10.19	-6.35	10.17	6.46	7.35	0.20	6.24	-34.2	-9.0	-1.4	15.68	2.39	11.15	9.71	732.94	736.25	0.40	0.81	3.60
SP	0.30	233.02	0.02	90.44	91.23	78.43	4.07	-0.47	0.52	2.23	1.12	1.12	0.05	-1.92	0.85	-2.48	5.09	0.50	5.42	-2.62	6.71	-23.0	-11.5	-2.8	16.43	3.18	11.95	10.34	752.15	755.33	0.41	1.75	3.84
SP	-0.34	674.52	1.11	91.95	106.18	89.78	6.47	0.58	7.19	3.89	1.95	1.95	0.07	5.07	8.10	-1.56	6.23	4.97	2.33	0.51	2.35	-32.7	-17.7	3.3	14.37	4.29	16.42	8.93	755.02	740.71	0.39	2.33	3.89
SP	0.78	255.66	0.28	96.99	104.09	80.16	3.94	-0.18	2.34	7.76	3.83	3.93	0.04	-0.26	9.17	-10.39	12.75	6.85	9.39	-0.44	5.06	-25.6	-12.5	-0.3	13.12	2.31	10.89	11.86	749.99	731.15	0.37	4.15	3.95
SP	0.78	0	0.92	97.24	101.23	88.96	4.48	-0.21	4.50	3.30	2.20	1.10	0.05	-9.61	1.04	-11.73	7.99	0.74	6.95	-0.23	1.47	-26.7	-12.1	1.7	7.57	0.77	4.90	16.46	768.05	764.58	0.41	0.95	3.91
SP	-0.47	234.55	0.09	95.97	104.09	86.86	3.69	0.05	1.60	5.85	2.99	2.86	0.04	-0.11	6.51	-10.04	10.57	5.41	8.44	-0.53	5.19	-28.3	-15.0	-0.8	17.97	2.10	9.39	14.07	785.14	761.30	0.40	5.02	3.97
SP	-0.30	422.80	0.38	93.88	104.04	90.43	3.66	0.30	2.75	4.48	2.24	2.24	0.04	0.12	4.81	-5.76	6.75	3.02	5.39	-0.72	7.48	-26.0	-9.5	-2.1	18.80	2.28	10.61	10.40	784.50	767.50	0.39	3.87	3.83
