AUDIOFILE	DIALECT	SPEAKER	SEX	CHUNK	f0sd	f0SAQ	df0mean_pos	df0sd_pos	sl_LTAS_alpha	cvint	pause_sd	pause_meandur	pause_rate
PBAFEM004.wav	PB	pb04	FEM	CH2	3.60	2.88	4.36	4.87	-17.7	21.37	231.53	316.00	0.37
PBAFEM004.wav	PB	pb04	FEM	CH3	2.91	1.76	5.34	3.89	-20.4	20.36	286.94	351.67	0.29
PBAFEM004.wav	PB	pb04	FEM	CH4	2.20	1.53	3.85	3.07	-21.8	15.07	218.81	266.00	0.29
PBAFEM004.wav	PB	pb04	FEM	CH5	3.02	1.82	3.97	3.51	-18.5	18.96	269.51	296.67	0.26
PBAFEM004.wav	PB	pb04	FEM	CH6	2.78	1.79	4.52	2.61	-20.1	10.51	0	0	0
PBAFEM004.wav	PB	pb04	FEM	CH7	3.50	2.89	5.49	0.89	-20.6	25.70	370.00	370.00	0.16
PBAFEM004.wav	PB	pb04	FEM	CH8	2.86	1.61	3.22	2.15	-21.0	9.35	0	0	0
PBAFEM004.wav	PB	pb04	FEM	CH9	1.48	0.35	2.28	2.84	-20.1	24.47	353.55	330.00	0.41
PBAFEM004.wav	PB	pb04	FEM	CH10	1.08	0.48	1.23	1.43	-18.3	18.18	80.00	80.00	0.29
PBAFEM004.wav	PB	pb04	FEM	CH11	2.81	1.33	5.82	6.41	-19.9	28.35	120.28	290.00	0.41
PBAFEM004.wav	PB	pb04	FEM	CH12	3.83	1.79	4.78	5.55	-19.6	16.30	70.71	210.00	0.23
PBAFEM004.wav	PB	pb04	FEM	CH13	5.77	5.52	7.06	0	-20.7	28.55	185.83	383.33	0.42
PBAFEM004.wav	PB	pb04	FEM	CH14	3.46	1.99	5.55	4.19	-23.6	17.50	240.42	340.00	0.30
PBAFEM004.wav	PB	pb04	FEM	CH15	2.53	1.41	12.54	7.85	-19.2	5.96	0	0	0
PBAFEM004.wav	PB	pb04	FEM	CH16	1.92	1.64	2.08	2.15	-19.9	19.40	233.35	215.00	0.35
PBAFEM004.wav	PB	pb04	FEM	CH17	3.24	1.92	5.50	5.81	-18.5	11.36	50.00	50.00	0.29
PBAFEM004.wav	PB	pb04	FEM	CH18	4.30	3.07	8.69	14.67	-22.1	22.39	144.22	380.00	0.43
PBAFEM004.wav	PB	pb04	FEM	CH19	1.33	0.74	4.00	2.87	-18.8	21.53	260.00	260.00	0.44
PBAFEM004.wav	PB	pb04	FEM	CH20	2.94	2.32	4.00	3.11	-23.1	15.48	170.09	234.00	0.37
PBAFEM004.wav	PB	pb04	FEM	CH21	2.47	1.64	4.86	2.98	-23.4	19.06	170.10	236.67	0.38
PBAFEM004.wav	PB	pb04	FEM	CH22	3.56	3.27	6.18	5.88	-23.2	11.96	0	0	0
PBAFEM004.wav	PB	pb04	FEM	CH23	2.10	1.65	3.51	2.73	-16.8	21.80	270.00	270.00	0.68
PBAFEM005.wav	PB	pb05	FEM	CH1	6.90	7.10	6.14	0	-20.8	32.07	550.00	550.00	0.45
PBAFEM005.wav	PB	pb05	FEM	CH2	2.49	2.54	5.35	3.78	-20.1	11.37	0	0	0
PBAFEM005.wav	PB	pb05	FEM	CH3	6.36	5.71	7.37	4.26	-19.5	27.41	181.33	273.95	0.88
PBAFEM005.wav	PB	pb05	FEM	CH4	3.25	2.09	3.34	2.58	-20.8	17.52	179.78	267.67	0.86
PBAFEM005.wav	PB	pb05	FEM	CH5	2.63	0.35	1.03	0.42	-20.0	25.69	183.29	272.78	0.97
PBAFEM005.wav	PB	pb05	FEM	CH6	2.94	2.44	4.11	3.02	-18.5	21.66	171.49	259.87	0.98
PBAFEM005.wav	PB	pb05	FEM	CH7	4.87	4.60	7.02	4.99	-19.7	26.42	190.55	279.06	1.02
PBAFEM005.wav	PB	pb05	FEM	CH8	2.65	2.34	3.45	0	-18.0	26.04	180.08	259.46	0.94
PBAFEM005.wav	PB	pb05	FEM	CH9	6.80	4.45	1.15	0.82	-14.6	25.20	183.01	252.37	0.99
PBAFEM005.wav	PB	pb05	FEM	CH10	2.75	1.64	7.20	4.08	-18.1	30.13	183.68	241.89	1.00
PBAFEM005.wav	PB	pb05	FEM	CH11	3.52	1.28	6.00	3.60	-18.8	25.66	177.67	232.52	0.91
PBAFEM005.wav	PB	pb05	FEM	CH12	2.66	1.20	3.80	2.86	-21.5	25.33	131.57	198.03	0.89
PBAFEM005.wav	PB	pb05	FEM	CH13	1.46	0.91	3.05	3.20	-17.8	25.04	127.64	190.04	0.90
PBAFEM005.wav	PB	pb05	FEM	CH14	2.73	2.43	0.80	0.93	-15.5	28.79	117.28	186.71	0.78
PBAFEM005.wav	PB	pb05	FEM	CH15	2.00	1.42	4.73	2.59	-9.8	20.06	69.25	146.06	0.72
PBAFEM005.wav	PB	pb05	FEM	CH16	1.01	0.90	3.88	0	-17.7	6.43	30.55	126.67	1.15
PBAFEM005.wav	PB	pb05	FEM	CH17	7.00	5.58	11.10	13.15	-20.2	95.57	30.55	126.67	1.36
PBAFEM005.wav	PB	pb05	FEM	CH18	3.35	2.87	5.30	2.11	-18.6	38.43	540.00	540.00	0.25
PBAFEM005.wav	PB	pb05	FEM	CH19	4.06	2.07	2.60	2.85	-20.4	13.78	0	0	0
PBAFEM005.wav	PB	pb05	FEM	CH20	0.79	0.13	2.87	2.55	-18.8	26.23	255.71	293.33	0.48
PBAFEM005.wav	PB	pb05	FEM	CH21	1.99	1.83	3.13	1.91	-19.3	24.64	284.20	282.00	0.41
PBAFEM005.wav	PB	pb05	FEM	CH22	2.92	2.47	3.55	2.60	-22.6	16.27	88.88	120.00	0.30
PBAFEM005.wav	PB	pb05	FEM	CH23	0.51	0.50	1.44	0.81	-27.8	12.59	224.12	344.00	0.52
PBAMAS001.wav	PB	pb06	MAS	CH1	3.20	2.09	2.07	1.48	-25.8	22.33	209.20	285.00	0.42
PBAMAS001.wav	PB	pb06	MAS	CH2	2.52	2.02	2.96	1.13	-23.6	17.37	190.00	190.00	0.23
PBAMAS001.wav	PB	pb06	MAS	CH3	2.18	1.95	2.98	0	-16.8	24.37	147.28	272.86	0.54
PBAMAS001.wav	PB	pb06	MAS	CH4	2.56	1.25	3.22	2.17	-21.6	17.31	130.23	240.00	0.48
PBAMAS001.wav	PB	pb06	MAS	CH5	2.77	1.56	3.29	2.25	-19.0	19.26	81.73	196.00	0.55
PBAMAS001.wav	PB	pb06	MAS	CH6	2.91	1.67	4.54	2.54	-23.4	31.07	937.59	756.89	0.31
PBAMAS001.wav	PB	pb06	MAS	CH7	1.78	1.80	3.08	0.53	0.9	44.61	963.04	799.02	0.30
PBAMAS001.wav	PB	pb06	MAS	CH8	2.35	1.89	5.67	5.27	-20.4	24.37	880.22	734.25	0.30
PBAMAS001.wav	PB	pb06	MAS	CH9	0.03	0.02	0.21	0.07	-28.7	42.84	919.89	833.53	0.29
PBAMAS001.wav	PB	pb06	MAS	CH10	2.91	1.67	4.54	2.54	-23.4	30.97	937.59	756.89	0.31
PBAMAS001.wav	PB	pb06	MAS	CH11	1.78	1.80	3.08	0.53	0.9	44.18	963.04	799.02	0.30
PBAMAS001.wav	PB	pb06	MAS	CH12	2.35	1.89	5.67	5.27	-20.4	24.35	880.22	734.25	0.30
PBAMAS001.wav	PB	pb06	MAS	CH13	0.03	0.02	0.21	0.07	-24.7	42.95	919.89	833.53	0.29
PBAMAS001.wav	PB	pb06	MAS	CH14	3.00	1.95	12.46	0	-20.4	16.64	934.67	825.31	0.28
PBAMAS001.wav	PB	pb06	MAS	CH15	2.39	1.30	4.34	3.12	-23.0	31.05	947.56	837.42	0.27
PBAMAS001.wav	PB	pb06	MAS	CH16	1.94	0.84	6.10	3.14	-21.7	41.46	992.24	990.80	0.28
PBAMAS001.wav	PB	pb06	MAS	CH17	2.61	2.17	3.99	2.75	-22.5	20.80	1010.86	976.25	0.27
PBAMAS001.wav	PB	pb06	MAS	CH18	2.89	0.89	3.00	1.88	-24.2	38.07	1037.46	1030.91	0.26
PBAMAS001.wav	PB	pb06	MAS	CH19	2.22	1.17	7.94	4.94	-25.7	27.02	1021.20	1057.22	0.26
PBAMAS001.wav	PB	pb06	MAS	CH20	2.36	0.79	4.50	3.35	-19.1	30.92	1050.21	1073.53	0.25
PBAMAS001.wav	PB	pb06	MAS	CH21	3.36	2.90	7.37	4.71	-23.0	39.06	1086.34	1163.33	0.23
PBAMAS001.wav	PB	pb06	MAS	CH22	2.19	1.81	1.44	0	-23.3	40.96	1126.49	1174.29	0.23
PBAMAS001.wav	PB	pb06	MAS	CH23	1.93	2.11	1.09	0	-24.5	27.08	1089.57	1063.08	0.22
PBAMAS002.wav	PB	pb07	MAS	CH1	2.28	1.62	4.58	2.84	-24.2	27.75	1120.54	1115.83	0.21
PBAMAS002.wav	PB	pb07	MAS	CH2	3.20	1.72	0.87	1.00	-23.0	37.49	1149.12	1183.64	0.22
PBAMAS002.wav	PB	pb07	MAS	CH3	2.05	1.39	4.42	2.06	-24.0	25.05	563.92	877.00	0.21
PBAMAS002.wav	PB	pb07	MAS	CH4	1.93	2.10	3.59	1.51	-18.8	27.79	577.58	923.33	0.24
