AUDIOFILE	DIALECT	SPEAKER	SEX	CHUNK	f0sd	f0SAQ	df0mean_pos	df0sd_pos	sl_LTAS_alpha	cvint	pause_sd	pause_meandur	pause_rate
SPAMAS004.wav	SP	sp09	MAS	CH21	3.76	2.55	4.79	1.75	-19.7	17.21	805.38	498.17	0.58
SPAMAS004.wav	SP	sp09	MAS	CH22	2.81	2.03	6.89	7.87	-14.6	14.99	808.22	498.72	0.58
SPAMAS004.wav	SP	sp09	MAS	CH23	3.01	1.94	4.68	5.09	-10.8	13.88	811.11	499.14	0.59
SPAMAS005.wav	SP	sp10	MAS	CH1	2.65	1.52	3.86	3.50	-13.6	16.33	816.80	501.16	0.60
SPAMAS005.wav	SP	sp10	MAS	CH2	1.82	0.93	5.31	5.21	-12.8	19.29	830.17	511.13	0.59
SPAMAS005.wav	SP	sp10	MAS	CH3	2.08	0.51	3.31	2.55	-12.5	20.11	792.20	493.92	0.59
SPAMAS005.wav	SP	sp10	MAS	CH4	11.12	11.49	21.78	19.91	-22.5	12.80	796.78	493.28	0.59
SPAMAS005.wav	SP	sp10	MAS	CH5	3.00	2.15	3.80	3.68	-14.5	17.10	795.54	485.91	0.59
SPAMAS005.wav	SP	sp10	MAS	CH6	8.49	7.34	49.11	10.54	-28.9	6.97	804.09	491.45	0.59
SPAMAS005.wav	SP	sp10	MAS	CH7	9.47	9.39	18.58	20.81	-22.0	10.78	807.38	491.46	0.59
SPAMAS005.wav	SP	sp10	MAS	CH8	3.09	2.31	6.15	4.50	-14.8	13.32	807.51	485.00	0.59
SPAMAS005.wav	SP	sp10	MAS	CH9	2.83	2.56	3.68	2.93	-14.0	14.81	813.66	488.33	0.60
SPAMAS005.wav	SP	sp10	MAS	CH10	3.22	2.03	8.18	4.63	-13.3	18.51	817.07	487.73	0.61
SPAMAS005.wav	SP	sp10	MAS	CH11	3.45	1.55	5.33	4.27	-14.4	14.75	736.99	460.00	0.60
SPAMAS005.wav	SP	sp10	MAS	CH12	4.28	3.39	5.30	3.10	-16.8	14.43	744.97	465.45	0.61
SPAMAS005.wav	SP	sp10	MAS	CH13	2.89	0.63	3.14	1.35	-14.0	17.83	756.73	473.43	0.60
SPAMAS005.wav	SP	sp10	MAS	CH14	3.42	2.77	5.16	3.25	-14.3	16.95	761.82	472.45	0.60
SPAMAS005.wav	SP	sp10	MAS	CH15	2.70	2.35	3.86	2.68	-12.8	16.71	777.92	482.77	0.60
SPAMAS005.wav	SP	sp10	MAS	CH16	0.64	0.41	1.21	0.76	-13.0	18.86	798.88	498.95	0.58
SPAMAS005.wav	SP	sp10	MAS	CH17	2.15	1.81	8.35	4.35	-14.6	16.70	803.12	499.79	0.58
SPAMAS005.wav	SP	sp10	MAS	CH18	0.11	0.10	0.54	0.19	-22.0	5.18	771.94	475.48	0.58
SPAMAS005.wav	SP	sp10	MAS	CH19	2.89	2.44	5.02	2.95	-12.0	15.11	775.11	471.30	0.58
SPAMAS005.wav	SP	sp10	MAS	CH20	2.40	1.58	2.75	2.11	-13.9	17.81	798.47	489.30	0.58
SPAMAS005.wav	SP	sp10	MAS	CH21	0.51	0.30	7.35	3.70	-24.3	6.68	817.64	494.81	0.57
SPAMAS005.wav	SP	sp10	MAS	CH22	2.42	1.42	2.50	1.86	-15.2	15.86	813.40	491.93	0.57
SPAMAS005.wav	SP	sp10	MAS	CH23	1.88	1.51	5.43	3.64	-15.1	14.97	816.94	494.62	0.57
